Date,Close,RSI,MACD,Upper_band,Lower_band,EMA_20,EMA_50
10/31/2019,197.0800018,67.73613884,0.541495172,199.2287708,185.4962292,193.2855536,191.0319377
11/1/2019,198.8699951,70.91393404,0.586999897,200.1000514,185.6309484,193.8174052,191.3393125
11/4/2019,200.1000061,68.90800813,0.64866648,201.0329569,185.8840429,194.4157481,191.6828691
11/5/2019,200.2100067,71.05108953,0.644275452,201.3438053,187.0521953,194.9675823,192.0172666
11/6/2019,199.7599945,68.2969353,0.561503833,201.5847503,188.0642502,195.4240025,192.320903
11/7/2019,200.4299927,77.69320028,0.504140469,201.9629039,188.8610967,195.9007634,192.6389065
11/8/2019,201.2299957,76.34401104,0.472857159,202.6311334,189.2048666,196.4083094,192.975812
11/11/2019,200.9600067,83.4679639,0.390198112,203.0812377,189.7417634,196.8418044,193.2889177
11/12/2019,201.5399933,83.71916366,0.33302499,203.7107117,189.9142883,197.2892509,193.6124893
11/13/2019,201.5899963,81.24992053,0.260241719,204.2131491,190.2668512,197.6988457,193.9253327
11/14/2019,201.4299927,77.28546795,0.167494447,204.6197457,190.6482536,198.0541931,194.2196331
11/15/2019,202.9100037,76.27942113,0.171376241,204.9697791,191.4202203,198.5166512,194.5604319
11/18/2019,203.0700073,89.988595,0.150989386,205.3912248,191.9667753,198.9503042,194.8941408
11/19/2019,203.3699951,89.18912839,0.125049451,205.4575641,193.052435,199.3712271,195.2265272
11/20/2019,202.1499939,77.34622292,-0.000298394,205.116113,194.3868854,199.6358716,195.4980357
11/21/2019,201.6999969,67.84362547,-0.132241697,204.8458994,195.418099,199.8324549,195.7412499
11/22/2019,201.8300018,62.66467982,-0.224086451,204.7048907,196.1781079,200.0226975,195.9800245
11/25/2019,204.2200012,72.00874994,-0.14124525,205.1306973,196.4173008,200.4224407,196.3031608
11/26/2019,204.6100006,76.79564997,-0.08057035,205.2752778,197.1297209,200.8212559,196.6289192
11/27/2019,206.0399933,78.59332687,0.029584041,205.7679275,197.54207,201.3182785,196.997981
11/29/2019,205.1000061,69.44735393,0.013662737,205.8416596,198.2703384,201.6784431,197.3157074
12/2/2019,203,58.65872725,-0.154506586,205.7556804,198.7693181,201.8043056,197.5386209
12/3/2019,201.4100037,49.49183076,-0.37638652,205.6973833,198.9586149,201.7667531,197.6904398
12/4/2019,202.4299927,53.05231688,-0.452878884,205.6574863,199.2205105,201.8299187,197.8763046
12/5/2019,202.8300018,55.00003815,-0.472768743,205.55572,199.6292776,201.9251648,198.0705673
